MilliSeconds,Spine_base,Spine_mid,Neck,Head,Shoulder_left,Elbow_left,Wrist_left,Hand_left,Shoulder_right,Elbow_right,Wrist_right,Hand_right,Hip_left,Knee_left,Ankle_left,Foot_left,Hip_right,Knee_right,Ankle_right,Foot_right,Spine_shoulder,Handtip_left,Thumb_left,Handtip_right,Thumb_right
0,-1.796289325,-1.750074387,-1.699437618,-1.633865952,-1.753991008,-1.858735204,-1.848623276,-1.798522115,-1.643302083,-1.715108514,-1.617251754,-1.581036806,-1.807871699,-1.530855775,-1.57358861,-1.514024734,-1.757602811,-1.473033428,-1.562762141,-1.479508996,-1.712942719,-1.761616349,-1.735798955,-1.568962336,-1.560954332
39,-1.797852159,-1.747225404,-1.685639501,-1.623505473,-1.748312593,-1.85606575,-1.814881444,-1.769755244,-1.636603236,-1.705026031,-1.634814978,-1.668511629,-1.809384942,-1.529837728,-1.573712707,-1.518321753,-1.758927703,-1.472799182,-1.494688153,-1.499023438,-1.702864766,-1.751881719,-1.776777148,-1.613993526,-1.613621712
79,-1.806749582,-1.74443996,-1.665262938,-1.603827477,-1.725114942,-1.838579297,-1.818308234,-1.775071263,-1.612740278,-1.688606501,-1.634694695,-1.65610826,-1.819199443,-1.528226852,-1.573672771,-1.534949183,-1.7683146,-1.469520926,-1.495749354,-1.493945003,-1.687461853,-1.749276161,-1.786635518,-1.642465234,-1.612844467
119,-1.800371885,-1.730671287,-1.645956159,-1.58688724,-1.712774873,-1.826099396,-1.803653717,-1.771530032,-1.602170587,-1.673960447,-1.623374343,-1.665154696,-1.813015223,-1.527801275,-1.574678779,-1.529166341,-1.76010704,-1.468726993,-1.496300578,-1.492508888,-1.668822289,-1.758991599,-1.777184844,-1.65861237,-1.581323862
159,-1.77497375,-1.705565929,-1.631312609,-1.564295769,-1.70148468,-1.795091748,-1.801200867,-1.77024579,-1.58713901,-1.667952657,-1.524739623,-1.482964277,-1.788912416,-1.521117568,-1.576998353,-1.509781003,-1.732283711,-1.458600998,-1.495293498,-1.495066881,-1.650732517,-1.754430056,-1.755729675,-1.444167972,-1.444815278
238,-1.758414626,-1.689094424,-1.615126133,-1.556201696,-1.681922317,-1.792326331,-1.794213295,-1.768435001,-1.56458509,-1.645784736,-1.593166113,-1.565079451,-1.76979959,-1.51772666,-1.575843096,-1.515790224,-1.718618751,-1.454859495,-1.496524692,-1.49659431,-1.63447988,-1.76206696,-1.808181524,-1.545248032,-1.533758402
278,-1.751975894,-1.683021784,-1.608970881,-1.551627994,-1.677608252,-1.786339045,-1.785298824,-1.762660742,-1.560825109,-1.631974578,-1.526080966,-1.49002707,-1.764007568,-1.517189503,-1.576229811,-1.516911507,-1.711509466,-1.453996301,-1.496795535,-1.495519519,-1.628400207,-1.746396899,-1.793977737,-1.44555676,-1.449427843
317,-1.742273211,-1.676086545,-1.604695916,-1.55039835,-1.673731923,-1.771258116,-1.76716888,-1.754962444,-1.552917838,-1.631378293,-1.529891014,-1.486136436,-1.755066633,-1.516597986,-1.574299335,-1.518535614,-1.701456308,-1.452772975,-1.496736169,-1.496664762,-1.623507619,-1.749294281,-1.768577814,-1.419163585,-1.476621151
357,-1.745134473,-1.67691946,-1.6009866,-1.5508641,-1.66879952,-1.761022568,-1.753460765,-1.740099192,-1.550398469,-1.623888612,-1.527712703,-1.48281002,-1.758358359,-1.515256643,-1.57432127,-1.524795771,-1.704618812,-1.450956821,-1.49831605,-1.494215846,-1.621251822,-1.731600165,-1.792947054,-1.420121193,-1.441551566
436,-1.748046756,-1.678299904,-1.602552295,-1.550619006,-1.671702862,-1.753507137,-1.734450817,-1.723285317,-1.549160123,-1.616399407,-1.496352077,-1.467613339,-1.760648131,-1.514338374,-1.575209498,-1.535334706,-1.707291245,-1.450375199,-1.499851823,-1.495574951,-1.622435808,-1.681609511,-1.705485582,-1.417812943,-1.440033317
476,-1.752081752,-1.680166841,-1.602660179,-1.551672101,-1.670986652,-1.753478646,-1.728189111,-1.716447353,-1.548930883,-1.614544749,-1.514222622,-1.475124359,-1.765002131,-1.515518546,-1.575315475,-1.530298948,-1.710598469,-1.450716496,-1.500834703,-1.492415309,-1.622967839,-1.710939288,-1.687298298,-1.416446805,-1.441897392
