MilliSeconds,Spine_base,Spine_mid,Neck,Head,Shoulder_left,Elbow_left,Wrist_left,Hand_left,Shoulder_right,Elbow_right,Wrist_right,Hand_right,Hip_left,Knee_left,Ankle_left,Foot_left,Hip_right,Knee_right,Ankle_right,Foot_right,Spine_shoulder,Handtip_left,Thumb_left,Handtip_right,Thumb_right
0,3.279831886,3.251847744,3.214884758,3.201656342,3.10085845,3.044939518,3.031328201,3.032792091,3.377459764,3.469744205,3.204318523,3.052274466,3.203867435,3.065659523,3.096003532,3.130319595,3.306275606,3.242054939,3.101905823,3.186262369,3.225806713,3.011191368,2.972571611,3.035586119,3.029333591
39,3.287517786,3.254409552,3.212046623,3.200695992,3.099889517,3.061068773,3.023936987,3.027038336,3.374836683,3.457257748,3.289866209,3.276453018,3.209982634,3.066673994,3.096527576,3.117171288,3.315151691,3.243172884,3.245215178,3.150390625,3.224994183,2.995309353,2.979222298,3.222314835,3.270666838
79,3.289323092,3.253989458,3.206921101,3.192938328,3.088206053,3.055844069,3.037491798,3.036075592,3.359605312,3.444529772,3.290560007,3.275399685,3.206512213,3.070275068,3.097356081,3.069797516,3.322206497,3.217352629,3.244394541,3.152956009,3.220978737,3.007315159,2.987846136,3.232758999,3.263166904
119,3.32316494,3.263306379,3.199841738,3.185858488,3.087611437,3.056980371,3.04325819,3.035716295,3.358887434,3.436653614,3.288126469,3.269295692,3.23465085,3.07113409,3.097354174,3.070832968,3.360826969,3.217266798,3.244288206,3.152297735,3.218329906,3.013688564,2.973000288,3.12044692,3.216833591
159,3.302154779,3.250671864,3.191390276,3.180176258,3.078267813,3.034817934,3.040595293,3.027483463,3.355973482,3.425146341,3.247803211,3.205446243,3.220125675,3.072262049,3.099603415,3.095009565,3.33023119,3.228522062,3.242396116,3.152267933,3.20805192,3.004397154,2.973799944,3.171745777,3.2062006
238,3.292395592,3.246137619,3.189953804,3.176198721,3.06593132,3.035855532,3.035357237,3.017967463,3.342823267,3.405143261,3.231706142,3.223039389,3.205572605,3.072313786,3.101389647,3.07251668,3.32585454,3.206886292,3.240216732,3.14948082,3.205778599,3.016585112,3,3.164360762,3.209000111
278,3.300942421,3.246505022,3.182317495,3.173715353,3.06161356,3.036528349,3.026510715,3.015602827,3.341367722,3.39584589,3.240397692,3.200888872,3.212677956,3.072329521,3.101195335,3.072942495,3.335860252,3.205396652,3.23957181,3.148059845,3.200285673,3.008289576,2.985349894,3.158965349,3.200214148
317,3.318205118,3.25113678,3.179288626,3.171122789,3.057678461,3.029113054,3.02108407,3.00817585,3.339933634,3.394930124,3.237065554,3.216413736,3.230216265,3.072165728,3.103404999,3.070902586,3.352643967,3.202627659,3.239547253,3.148985386,3.198673248,3.004827023,2.962667227,3.182190418,3.234071016
357,3.317509651,3.251764059,3.180319548,3.168883324,3.050909281,3.022785187,3.018829346,2.998250961,3.336557865,3.392324448,3.235807419,3.215645075,3.230540037,3.072748899,3.102958202,3.066520691,3.350612164,3.197985411,3.233859539,3.148988962,3.199824572,3.008771181,3.000667095,3.182855368,3.222699881
436,3.3161273,3.248409271,3.172643185,3.165614843,3.045950413,3.018338442,3.009877443,2.993108988,3.333700657,3.392261982,3.259145975,3.209158659,3.230234623,3.074163198,3.102185726,3.072704315,3.347637892,3.196570396,3.231328487,3.14980197,3.193354368,2.996552467,3.051800251,3.171081543,3.218749762
476,3.313178539,3.246540308,3.171124458,3.164698124,3.045905113,3.016819239,3.006929636,2.989361763,3.331199884,3.392336845,3.227147341,3.215402603,3.227695227,3.074297905,3.101325989,3.076215029,3.344426155,3.195768833,3.229724169,3.15256691,3.1917696,2.986559153,3.02255559,3.183315992,3.222121239
516,3.313628912,3.247062206,3.171419144,3.162878513,3.044883251,3.016659498,3.00571847,2.986641645,3.331564426,3.393384695,3.227122784,3.203056335,3.228463411,3.074416161,3.100376606,3.080434799,3.344367266,3.195533752,3.231283426,3.156827688,3.192138433,2.984880924,3.025781155,3.164523363,3.223083496
555,3.314284563,3.247106791,3.170731306,3.162553072,3.043417692,3.014782429,3.006213665,3.001569271,3.332043886,3.394268274,3.227758884,3.197771788,3.228968143,3.074387789,3.100315809,3.038928032,3.345043421,3.196098089,3.231694221,3.169817448,3.191706181,3.011618853,3.050250053,3.146847725,3.192764759
595,3.315120697,3.247816324,3.171156645,3.162328482,3.044019699,3.014364243,3.007677555,3.007934809,3.33205986,3.395093918,3.257421732,3.207629442,3.229969025,3.07367754,3.101404428,3.040196419,3.345665455,3.196608067,3.232885361,3.162588835,3.192200184,3.007386446,3.017833471,3.172189713,3.201166868
674,3.319206953,3.250947952,3.17305851,3.162451982,3.044682264,3.017502308,3.017802238,3.020830631,3.333894253,3.405001879,3.373638153,3.366245031,3.234761715,3.07169652,3.102508307,3.070911407,3.348939896,3.197560549,3.233042002,3.157065392,3.194384813,3.019292831,3.013123512,3.317740202,3.378754854
714,3.33946538,3.260613918,3.173913956,3.159985065,3.051169395,3.028701544,3.021162987,3.020730257,3.33436656,3.404876709,3.45853138,3.479486227,3.257300138,3.071487188,3.102425337,3.071553469,3.367015362,3.195727348,3.233128548,3.156718016,3.197472334,3.023641586,3.017538548,3.43100214,3.492039204
