MilliSeconds,Spine_base,Spine_mid,Neck,Head,Shoulder_left,Elbow_left,Wrist_left,Hand_left,Shoulder_right,Elbow_right,Wrist_right,Hand_right,Hip_left,Knee_left,Ankle_left,Foot_left,Hip_right,Knee_right,Ankle_right,Foot_right,Spine_shoulder,Handtip_left,Thumb_left,Handtip_right,Thumb_right
0,-0.675362706,-0.439326018,-0.205134377,-0.071925893,-0.293484688,-0.482450038,-0.705242217,-0.758909345,-0.302193791,-0.574910641,-0.702033401,-0.770315647,-0.668359578,-0.811323941,-1.11991477,-1.173340321,-0.672171593,-0.822846532,-1.119913936,-1.135085583,-0.263471246,-0.819096506,-0.76937604,-0.781516969,-0.746598721
39,-0.674423993,-0.436963856,-0.197422355,-0.067469962,-0.291958243,-0.535435915,-0.728750706,-0.776682258,-0.301081091,-0.54238975,-0.642099321,-0.653603733,-0.667367458,-0.812006116,-1.120982766,-1.166705847,-0.671235561,-0.822868049,-1.114866138,-1.15625,-0.257521689,-0.813526332,-0.784894288,-0.679095924,-0.645962954
79,-0.668130517,-0.433211505,-0.19312191,-0.068051226,-0.283268481,-0.517078221,-0.716101766,-0.767094135,-0.295036018,-0.525204778,-0.643509865,-0.640000641,-0.660067141,-0.748120368,-1.121275067,-1.19405508,-0.664741158,-0.740484536,-1.114758611,-1.159267902,-0.252674758,-0.813366055,-0.774418712,-0.662123501,-0.634085655
119,-0.671664715,-0.425119221,-0.175123155,-0.047095373,-0.269779265,-0.499936432,-0.736102641,-0.774527192,-0.28766948,-0.518208742,-0.640438557,-0.631348968,-0.662191272,-0.748270273,-1.120642185,-1.192580938,-0.670795321,-0.73954618,-1.114822149,-1.161830187,-0.23783575,-0.818919063,-0.768530011,-0.633103132,-0.660087168
159,-0.662878275,-0.407124132,-0.155091852,-0.020459075,-0.252200335,-0.471667022,-0.723366618,-0.77065444,-0.272305995,-0.514928818,-0.643080771,-0.684556067,-0.653948247,-0.7510342,-1.122720242,-1.182235837,-0.661060929,-0.763751507,-1.109077692,-1.161778331,-0.217401445,-0.822823226,-0.775159895,-0.724874616,-0.660523295
238,-0.630463898,-0.379469156,-0.130193159,-0.002539215,-0.213961303,-0.469101429,-0.730636001,-0.772028327,-0.24083297,-0.504163265,-0.635662794,-0.652435303,-0.618031204,-0.739394605,-1.120904803,-1.189979315,-0.633004189,-0.733150899,-1.109846354,-1.16424787,-0.192238256,-0.819926023,-0.758223057,-0.662301779,-0.645772398
278,-0.607065082,-0.357006311,-0.107079417,0.022394765,-0.196213454,-0.461504638,-0.717624485,-0.768247902,-0.231887266,-0.481570303,-0.631608307,-0.672521234,-0.59472084,-0.736685812,-1.12184763,-1.191996098,-0.609400868,-0.731764257,-1.110344052,-1.164996982,-0.169475645,-0.814074755,-0.764881968,-0.734710991,-0.647734284
317,-0.562910795,-0.32874772,-0.092095219,0.038772456,-0.180870205,-0.446226746,-0.679351151,-0.751920521,-0.210658476,-0.481699467,-0.629407108,-0.64535439,-0.552200973,-0.735015512,-1.119237185,-1.191751599,-0.564709902,-0.729393065,-1.110415339,-1.166579604,-0.151540697,-0.810899496,-0.74591732,-0.681955993,-0.615789771
357,-0.562950671,-0.322966725,-0.074712656,0.058414515,-0.162263721,-0.426733732,-0.679981768,-0.744804621,-0.197358519,-0.470030665,-0.626568317,-0.643376589,-0.553632796,-0.730280042,-1.118678808,-1.194309354,-0.563221812,-0.72518152,-1.109411597,-1.171999812,-0.137117773,-0.805897832,-0.774968982,-0.683935463,-0.640229166
436,-0.553237855,-0.300459534,-0.048592463,0.086462922,-0.130957499,-0.400534004,-0.676505625,-0.728904545,-0.161845773,-0.44973734,-0.599152386,-0.643933058,-0.547968745,-0.72366792,-1.105901361,-1.18657136,-0.54886359,-0.721264005,-1.108768344,-1.175042152,-0.111330867,-0.815344155,-0.747713268,-0.688625455,-0.638159931
476,-0.543650746,-0.287963063,-0.033787105,0.098752335,-0.126330987,-0.393500209,-0.668752551,-0.723124027,-0.156589195,-0.446478963,-0.619099855,-0.635269284,-0.538885593,-0.719885826,-1.103776813,-1.183149338,-0.539484918,-0.719502568,-1.107718706,-1.177720785,-0.097023562,-0.785162449,-0.725922108,-0.676678777,-0.634226561
516,-0.541622162,-0.284926832,-0.030196821,0.102544941,-0.123012125,-0.393216372,-0.663059175,-0.721685886,-0.152167499,-0.443521291,-0.594370782,-0.64600116,-0.537197113,-0.719231069,-1.099373937,-1.180641055,-0.537012219,-0.717589498,-1.106534123,-1.178993344,-0.093555495,-0.78229177,-0.730371118,-0.696783662,-0.620408297
555,-0.540205896,-0.284196556,-0.029625723,0.103357054,-0.121210627,-0.388834566,-0.662993193,-0.724393964,-0.151238933,-0.442416131,-0.595757425,-0.645468891,-0.535666227,-0.719077289,-1.099431276,-1.154067874,-0.535728157,-0.716290176,-1.106396675,-1.161181808,-0.092971489,-0.797613025,-0.713950396,-0.699849904,-0.633955181
