MilliSeconds,Spine_base,Spine_mid,Neck,Head,Shoulder_left,Elbow_left,Wrist_left,Hand_left,Shoulder_right,Elbow_right,Wrist_right,Hand_right,Hip_left,Knee_left,Ankle_left,Foot_left,Hip_right,Knee_right,Ankle_right,Foot_right,Spine_shoulder,Handtip_left,Thumb_left,Handtip_right,Thumb_right
4366,-0.095637091,-0.096577473,-0.09431427,-0.074645326,-0.249307692,-0.327029914,-0.295018286,-0.24858734,0.046200752,0.084659331,0.101282522,0.040844597,-0.169714689,-0.242315173,-0.172247499,-0.19030565,-0.019947421,0.037826411,-0.017268751,0.009665558,-0.09618257,-0.235126004,-0.288394749,0.02763688,0.077660635
4405,-0.094263725,-0.096557625,-0.101570837,-0.079315469,-0.251401991,-0.330596805,-0.298824459,-0.283616781,0.03843857,0.085873604,0.109334432,0.045085289,-0.169070855,-0.24359253,-0.172835618,-0.189865872,-0.017643459,0.044023041,-0.003309615,-0.001510928,-0.100144558,-0.246567443,-0.313444942,0.027955275,0.079664588
4444,0.132847279,-0.026564891,-0.183346748,-0.14356567,-0.334546387,-0.41460523,-0.378316671,-0.281363726,-0.045558639,0.155751035,0.06960763,0.015472799,0.084956206,-0.235127524,-0.17414479,-0.192556918,0.178413957,-0.042372916,-0.0144732,0.008052186,-0.144507185,-0.27920109,-0.302685082,0.013878759,0.065843977
4484,0.123995602,-0.035372455,-0.19156976,-0.150519058,-0.342757136,-0.337049365,-0.29955864,-0.249592274,-0.053771503,0.176984906,0.05783391,0.004768591,0.077759586,-0.235684618,-0.174677417,-0.199057847,0.168148711,-0.047054712,-0.014443818,0.013588756,-0.152759105,-0.225036383,-0.279298663,-0.002635911,0.060528487
4524,0.095449656,-0.02408462,-0.141502857,-0.097766034,-0.292758912,-0.27592957,-0.239772946,-0.239046812,-0.003770762,0.22462146,0.117631964,0.029955136,0.044806376,-0.290794402,-0.178617373,-0.200372562,0.144352555,-0.133157253,-0.015846334,0.022389421,-0.112423085,-0.243296012,-0.25400728,0.005018477,0.059453644
4603,0.160211012,0.042833377,-0.077906385,-0.033363447,-0.230104297,-0.254424453,-0.220824286,-0.237016425,0.058885749,0.057003811,0.074433461,0.020403303,0.108989261,-0.243030027,-0.191856593,-0.211930409,0.208523661,-0.101920918,-0.015041899,0.029323176,-0.044693697,-0.275733858,-0.27437982,-0.004517935,0.049858462
4643,0.159195408,0.040873699,-0.079540178,-0.035018008,-0.232348219,-0.256660134,-0.223054171,-0.245187342,0.056640498,0.055325687,0.072799243,0.01876408,0.107347168,-0.247600615,-0.19483833,-0.210006759,0.207969889,-0.101759486,-0.006976398,0.026105605,-0.047674414,-0.248450339,-0.28158921,-0.006152567,0.049558263
4682,0.140341908,0.016734382,-0.104755931,-0.060556091,-0.259287834,-0.283488184,-0.249794364,-0.217474461,0.029754193,0.054619398,0.073553957,0.01951319,0.086345948,-0.248867497,-0.197599247,-0.208368719,0.191742957,-0.05197233,-0.007070206,0.029694866,-0.07465034,-0.22078757,-0.253990769,-0.005406059,0.049066372
4722,0.136815459,0.012256399,-0.110169947,-0.066040032,-0.264696002,-0.288875073,-0.255165368,-0.222845361,0.024349445,0.052294947,0.071236007,0.017190184,0.082306512,-0.250521332,-0.197539285,-0.209538519,0.188668564,-0.051997654,-0.007200544,0.032719046,-0.079770423,-0.226143256,-0.257683039,-0.007722649,0.046758361
4801,0.144304648,0.01331907,-0.112818539,-0.068722904,-0.267341316,-0.291510046,-0.257792681,-0.225472748,0.021704964,0.049271867,0.068221368,0.01416612,0.093410581,-0.258660346,-0.197082236,-0.210560471,0.19086504,-0.04599829,-0.008727939,0.033994172,-0.08183068,-0.228763357,-0.261442214,-0.010738316,0.04375387
4842,0.139436439,0.010664437,-0.115496174,-0.071434915,-0.270013958,-0.294172883,-0.260466576,-0.228129044,0.019029837,0.048162494,0.067104749,0.013044973,0.078871779,-0.258312225,-0.197420776,-0.210379034,0.195069447,-0.046041187,-0.00840598,0.034645572,-0.084342554,-0.231412873,-0.264357239,-0.011856337,0.04285384
4881,0.109639809,0.001182898,-0.115123734,-0.071057685,-0.269642115,-0.29380244,-0.2601116,-0.227759585,0.019401839,0.049380425,0.068310849,0.014247057,0.058194932,-0.262149334,-0.196451589,-0.211090237,0.159068897,-0.091474988,-0.005794095,0.03440176,-0.084583178,-0.231044397,-0.262438297,-0.010657763,0.043834172
