Milliseconds,Spine_base_x,Spine_base_y,Spine_base_z,Spine_mid_x,Spine_mid_y,Spine_mid_z,Neck_x,Neck_y,Neck_z,Head_x,Head_y,Head_z,Shoulder_left_x,Shoulder_left_y,Shoulder_left_z,Elbow_left_x,Elbow_left_y,Elbow_left_z,Wrist_left_x,Wrist_left_y,Wrist_left_z,Hand_left_x,Hand_left_y,Hand_left_z,Shoulder_right_x,Shoulder_right_y,Shoulder_right_z,Elbow_right_x,Elbow_right_y,Elbow_right_z,Wrist_right_x,Wrist_right_y,Wrist_right_z,Hand_right_x,Hand_right_y,Hand_right_z,Hip_left_x,Hip_left_y,Hip_left_z,Knee_left_x,Knee_left_y,Knee_left_z,Ankle_left_x,Ankle_left_y,Ankle_left_z,Foot_left_x,Foot_left_y,Foot_left_z,Hip_right_x,Hip_right_y,Hip_right_z,Knee_right_x,Knee_right_y,Knee_right_z,Ankle_right_x,Ankle_right_y,Ankle_right_z,Foot_right_x,Foot_right_y,Foot_right_z,Spine_shoulder_x,Spine_shoulder_y,Spine_shoulder_z,Handtip_left_x,Handtip_left_y,Handtip_left_z,Thumb_left_x,Thumb_left_y,Thumb_left_z,Handtip_right_x,Handtip_right_y,Handtip_right_z,Thumb_right_x,Thumb_right_y,Thumb_right_z
0,-0.126186430454254,-0.165524140000343,4.47021245956421,-0.124963842332363,0.0685290619730949,4.44845819473267,-0.123480528593063,0.299757927656174,4.41717338562012,-0.125192746520042,0.4282146692276,4.38642597198486,-0.288850605487823,0.202466517686844,4.41655540466309,-0.401679545640945,0.0164141990244389,4.4300217628479,-0.351873010396957,-0.101262517273426,4.27540349960327,-0.348314523696899,-0.129099681973457,4.24876403808594,0.0306221842765808,0.201601177453995,4.43226861953735,0.106802940368652,-0.0160757154226303,4.47700214385986,0.0629526451230049,-0.157025024294853,4.25192785263062,0.0363600589334965,-0.17980332672596,4.16845655441284,-0.197705298662186,-0.164273709058762,4.44171619415283,-0.272949427366257,-0.257922410964966,4.12281703948975,-0.209150657057762,-0.637528538703918,4.13680839538574,-0.198604896664619,-0.717346012592316,4.07489490509033,-0.0530595108866692,-0.164666578173637,4.44177913665771,0.0433236882090569,-0.313827335834503,4.15020608901978,-0.0328706540167332,-0.637506365776062,4.16418933868408,0.0162517800927162,-0.69447535276413,4.08979034423828,-0.123901568353176,0.242348417639732,4.42681646347046,-0.291439175605774,-0.16149565577507,4.15705537796021,-0.330651730298996,-0.110780023038387,4.24280023574829,0.0457218587398529,-0.224533930420876,4.11312007904053,0.0827597826719284,-0.161104679107666,4.14516639709473
84,-0.128890514373779,-0.184135928750038,4.50240850448608,-0.124935872852802,0.0564312227070332,4.44314765930176,-0.116562776267529,0.277959764003754,4.35583448410034,-0.114731810986996,0.399979799985886,4.32198095321655,-0.279632538557053,0.205916538834572,4.35653257369995,-0.421307146549225,0.0273088291287422,4.38024568557739,-0.344547152519226,-0.122295968234539,4.26997566223145,-0.344000488519669,-0.138217315077782,4.24819564819336,0.0401843152940273,0.195004865527153,4.3625864982605,0.140065833926201,-0.00396768655627966,4.44575786590576,0.0776947066187859,-0.126788198947906,4.28544759750366,0.0266170985996723,-0.167514264583588,4.19552850723267,-0.20037841796875,-0.180959209799767,4.47188425064087,-0.263875126838684,-0.261953353881836,4.11556529998779,-0.209228172898293,-0.634980022907257,4.13482046127319,-0.21571609377861,-0.70781946182251,4.06290197372437,-0.0558059364557266,-0.184960126876831,4.47517490386963,0.038525465875864,-0.243458762764931,4.15471410751343,-0.0278552044183016,-0.635788083076477,4.16940879821777,0.018392451107502,-0.701114177703857,4.11008071899414,-0.118849091231823,0.222938448190689,4.38268375396729,-0.320392817258835,-0.171043530106544,4.1606707572937,-0.311658293008804,-0.121759496629238,4.22499990463257,0.0129266707226634,-0.197462618350983,4.14619255065918,0.0577250048518181,-0.175040245056152,4.14327239990234
128,-0.128981173038483,-0.183409467339516,4.50532531738281,-0.122950039803982,0.051618929952383,4.43156051635742,-0.113343618810177,0.273373812437058,4.32420492172241,-0.112773776054382,0.390797585248947,4.28497648239136,-0.280210554599762,0.201506718993187,4.32283735275269,-0.423757284879684,0.0285914558917284,4.37804746627808,-0.349480241537094,-0.121963635087013,4.26467132568359,-0.339670658111572,-0.129608437418938,4.24852132797241,0.0422689542174339,0.192615061998367,4.3512544631958,0.1503966152668,-0.00731903919950128,4.414222240448,0.107394605875015,-0.162015825510025,4.29043006896973,0.0359905734658241,-0.171640083193779,4.18720245361328,-0.200439915060997,-0.180420637130737,4.47316598892212,-0.263898640871048,-0.261951982975006,4.11562204360962,-0.207882612943649,-0.633680582046509,4.13457250595093,-0.218283250927925,-0.706546664237976,4.06443023681641,-0.0559077821671963,-0.184093445539474,4.48034763336182,0.0386812798678875,-0.243278294801712,4.15440654754639,-0.0275757275521755,-0.636055946350098,4.17047214508057,0.016900921240449,-0.700879693031311,4.10876750946045,-0.115587182343006,0.21770966053009,4.35238742828369,-0.282015323638916,-0.141270756721497,4.20131540298462,-0.299070209264755,-0.116356216371059,4.23716640472412,0.0117775509133935,-0.202802672982216,4.13398265838623,0.0729669108986855,-0.174162477254868,4.15766668319702
170,-0.125930100679398,-0.182946488261223,4.49931764602661,-0.117035254836082,0.042770154774189,4.39543867111206,-0.111554563045502,0.26363343000412,4.28612804412842,-0.10734349489212,0.386222302913666,4.23375940322876,-0.275433570146561,0.198940709233284,4.29850625991821,-0.432086676359177,0.027567895129323,4.34893608093262,-0.344434708356857,-0.130927339196205,4.25767135620117,-0.323496460914612,-0.135021865367889,4.22130441665649,0.0540914498269558,0.184558182954788,4.30019330978394,0.167073756456375,0.00357216270640492,4.39014863967896,0.104529827833176,-0.159439563751221,4.28648948669434,0.0915338099002838,-0.162996992468834,4.23199129104614,-0.197156220674515,-0.179422587156296,4.4652271270752,-0.264781981706619,-0.263962000608444,4.11378622055054,-0.208465367555618,-0.631615936756134,4.13516807556152,-0.2149608284235,-0.708554327487946,4.06649208068848,-0.0530033446848392,-0.184037744998932,4.4754843711853,0.0409218147397041,-0.246502950787544,4.14317798614502,-0.0322596803307533,-0.63576328754425,4.16865539550781,0.0169389322400093,-0.700007617473602,4.10570287704468,-0.11297170817852,0.208871647715569,4.31584787368774,-0.288359731435776,-0.15246145427227,4.16840696334839,-0.268483012914658,-0.140335351228714,4.18628597259521,0.0874171480536461,-0.178007200360298,4.18792724609375,0.112183049321175,-0.169433504343033,4.25949954986572
213,-0.126043021678925,-0.191590771079063,4.47772312164307,-0.115914292633533,0.0350871421396732,4.37408542633057,-0.10624410957098,0.257716536521912,4.25911092758179,-0.106999106705189,0.378953129053116,4.20884656906128,-0.273607105016708,0.198890686035156,4.26431941986084,-0.435905694961548,0.0436322130262852,4.31438779830933,-0.353388696908951,-0.126496896147728,4.24608182907104,-0.3408043384552,-0.133869558572769,4.21182250976563,0.0563499256968498,0.18151219189167,4.28041124343872,0.16393081843853,0.0110133662819862,4.3607964515686,0.0770316570997238,-0.136192455887794,4.23946905136108,0.032503817230463,-0.17169751226902,4.17919158935547,-0.19785737991333,-0.186356842517853,4.44544792175293,-0.267841547727585,-0.260137230157852,4.11195039749146,-0.209023833274841,-0.629142880439758,4.13265562057495,-0.213805645704269,-0.709038257598877,4.07177352905273,-0.052507933229208,-0.194477930665016,4.45179748535156,0.0425423011183739,-0.248511105775833,4.1397967338562,-0.0327083952724934,-0.636046707630157,4.16824626922607,0.0132726430892944,-0.700627207756042,4.10324668884277,-0.108729518949986,0.202337995171547,4.28962135314941,-0.314825177192688,-0.159004241228104,4.14159107208252,-0.281961143016815,-0.142580419778824,4.1564998626709,0.00163129135034978,-0.215207099914551,4.13411521911621,0.0775163099169731,-0.171724110841751,4.14680051803589
256,-0.132076874375343,-0.165886998176575,4.46215963363647,-0.119344934821129,0.0456709079444408,4.34777498245239,-0.106938421726227,0.254423230886459,4.21273756027222,-0.104610785841942,0.374301701784134,4.16309404373169,-0.272240221500397,0.204479515552521,4.22806692123413,-0.438502728939056,0.0477389134466648,4.30151271820068,-0.353161722421646,-0.123673215508461,4.24011945724487,-0.334174454212189,-0.135482087731361,4.20763635635376,0.0591282099485397,0.184996113181114,4.24370098114014,0.169610276818275,0.0224318094551563,4.34205865859985,0.0769822970032692,-0.135856911540031,4.23748350143433,0.0261659435927868,-0.174866080284119,4.1695384979248,-0.204600661993027,-0.159297198057175,4.42708921432495,-0.267649084329605,-0.261145740747452,4.10888719558716,-0.207188487052917,-0.63129734992981,4.13182973861694,-0.204780474305153,-0.696837484836578,4.02390146255493,-0.0578855536878109,-0.170217022299767,4.43903112411499,0.0450130254030228,-0.248980849981308,4.13129663467407,-0.0341657623648643,-0.635551869869232,4.16527509689331,0.0153225660324097,-0.701033055782318,4.10806560516357,-0.110201016068459,0.203261062502861,4.2496542930603,-0.320225656032562,-0.1622274518013,4.15193271636963,-0.300830364227295,-0.124759897589684,4.19491672515869,-0.00402817828580737,-0.226541846990585,4.1348352432251,0.0496900528669357,-0.172848388552666,4.13483333587646
341,-0.135562524199486,-0.141153603792191,4.44792461395264,-0.116988286375999,0.0632735639810562,4.31920528411865,-0.0977195054292679,0.266132026910782,4.17591857910156,-0.0990797057747841,0.396058231592178,4.11945629119873,-0.258652627468109,0.22348864376545,4.17083692550659,-0.434229969978333,0.0597848519682884,4.25271415710449,-0.347598999738693,-0.116687171161175,4.21239566802979,-0.313366442918777,-0.135854810476303,4.17040205001831,0.0602376349270344,0.196229726076126,4.19317150115967,0.179624751210213,0.0466542914509773,4.2960090637207,0.104085326194763,-0.131570935249329,4.24173259735107,0.0547767132520676,-0.149319037795067,4.18404817581177,-0.208473071455956,-0.133404150605202,4.4129900932312,-0.264918088912964,-0.258518308401108,4.09522914886475,-0.206455498933792,-0.631045043468475,4.13131332397461,-0.203743129968643,-0.701196491718292,4.02463150024414,-0.060838371515274,-0.146949142217636,4.42497825622559,0.0462702959775925,-0.243270710110664,4.11719179153442,-0.03093221783638,-0.635648608207703,4.16238832473755,0.00451712682843208,-0.714556813240051,4.11615562438965,-0.102731890976429,0.215909108519554,4.2140965461731,-0.292954623699188,-0.16374309360981,4.11938142776489,-0.261847198009491,-0.127484664320946,4.1743745803833,0.0129139609634876,-0.203780859708786,4.13104581832886,0.0887156501412392,-0.180549636483192,4.14160060882568
384,-0.136418849229813,-0.125900581479073,4.43388175964355,-0.117439776659012,0.0813800543546677,4.29507684707642,-0.0980809479951859,0.284466981887817,4.14643383026123,-0.0952989310026169,0.419036865234375,4.09092044830322,-0.259225428104401,0.22788979113102,4.16242122650146,-0.428946942090988,0.0683875381946564,4.22870874404907,-0.345001220703125,-0.111582063138485,4.1942720413208,-0.289500862360001,-0.140623867511749,4.14316463470459,0.0627277120947838,0.226142674684525,4.15658378601074,0.179644629359245,0.0505447126924992,4.27326488494873,0.0954481214284897,-0.127381384372711,4.22911691665649,0.0502822697162628,-0.139748126268387,4.16627073287964,-0.207615464925766,-0.122142180800438,4.40307712554932,-0.263468116521835,-0.257002204656601,4.09043312072754,-0.208031117916107,-0.622476279735565,4.12705373764038,-0.208864629268646,-0.69455873966217,4.0207839012146,-0.0639814883470535,-0.127399578690529,4.40616035461426,0.0456816703081131,-0.240690261125565,4.11080551147461,-0.0309425871819258,-0.632948219776154,4.15979909896851,0.000722065567970276,-0.714755654335022,4.11584329605103,-0.102980419993401,0.234255328774452,4.18534660339355,-0.259839087724686,-0.195459067821503,4.07653522491455,-0.245927318930626,-0.133042693138123,4.15416717529297,0.0637247264385223,-0.17573855817318,4.13455820083618,0.0749688744544983,-0.15307180583477,4.13199996948242
427,-0.132161185145378,-0.112951025366783,4.42232990264893,-0.11545168608427,0.092171736061573,4.28625106811523,-0.0980261564254761,0.294708222150803,4.13962316513062,-0.0920101627707481,0.426720798015594,4.08145952224731,-0.258086502552032,0.231601610779762,4.1580171585083,-0.422774225473404,0.0722261294722557,4.2208046913147,-0.341659754514694,-0.10928638279438,4.18281745910645,-0.289669334888458,-0.140341833233833,4.13487529754639,0.0644702017307281,0.232080891728401,4.14927768707275,0.180415645241737,0.0544997714459896,4.26250410079956,0.0960947200655937,-0.125477343797684,4.22581005096436,0.0322812348604202,-0.153517454862595,4.14880704879761,-0.202094942331314,-0.109490729868412,4.38897895812988,-0.26344832777977,-0.255310386419296,4.08622789382935,-0.20560422539711,-0.62677264213562,4.12778472900391,-0.206883445382118,-0.699064493179321,4.02059888839722,-0.060678094625473,-0.114941351115704,4.39752769470215,0.0455617755651474,-0.240170702338219,4.10973501205444,-0.0316535383462906,-0.628495454788208,4.15610313415527,-0.00838880427181721,-0.713894307613373,4.11328554153442,-0.102456010878086,0.244436949491501,4.17817640304565,-0.276765614748001,-0.184486970305443,4.08003282546997,-0.249509736895561,-0.127717196941376,4.13541698455811,-0.00771804573014379,-0.219232112169266,4.10355281829834,0.0621726401150227,-0.151114583015442,4.11322259902954
469,-0.120099648833275,-0.0728834867477417,4.40378999710083,-0.110590428113937,0.132010027766228,4.26387596130371,-0.100990496575832,0.335115164518356,4.1137375831604,-0.0896705389022827,0.466872215270996,4.05618619918823,-0.257022053003311,0.269848495721817,4.12024593353271,-0.419723153114319,0.0817612484097481,4.21207809448242,-0.339466482400894,-0.10141734033823,4.17080068588257,-0.298912107944489,-0.139633640646935,4.11996221542358,0.0653674155473709,0.251952230930328,4.13763046264648,0.179510310292244,0.066901370882988,4.24443960189819,0.0954122021794319,-0.115722432732582,4.21270704269409,0.0601116567850113,-0.121118016541004,4.17323207855225,-0.193349272012711,-0.0728068575263023,4.37051725387573,-0.260554939508438,-0.251323670148849,4.08109855651855,-0.204204171895981,-0.62279224395752,4.12945890426636,-0.201662510633469,-0.696452021598816,4.02252340316772,-0.0450258851051331,-0.0718068033456802,4.37928819656372,0.0461129769682884,-0.237720057368279,4.10544681549072,-0.0312815383076668,-0.628636240959167,4.15664148330688,-0.0188038945198059,-0.716090500354767,4.1101598739624,-0.103391110897064,0.284659922122955,4.15318202972412,-0.291139751672745,-0.16526897251606,4.08678817749023,-0.279579401016235,-0.126833468675613,4.10725021362305,0.0580319128930569,-0.136120051145554,4.13106679916382,0.0754890292882919,-0.136860013008118,4.15499973297119
