Miliseconds,Spine_base_x,Spine_base_y,Spine_base_z,Spine_mid_x,Spine_mid_y,Spine_mid_z,Neck_x,Neck_y,Neck_z,Head_x,Head_y,Head_z,Shoulder_left_x,Shoulder_left_y,Shoulder_left_z,Elbow_left_x,Elbow_left_y,Elbow_left_z,Wrist_left_x,Wrist_left_y,Wrist_left_z,Hand_left_x,Hand_left_y,Hand_left_z,Shoulder_right_x,Shoulder_right_y,Shoulder_right_z,Elbow_right_x,Elbow_right_y,Elbow_right_z,Wrist_right_x,Wrist_right_y,Wrist_right_z,Hand_right_x,Hand_right_y,Hand_right_z,Hip_left_x,Hip_left_y,Hip_left_z,Knee_left_x,Knee_left_y,Knee_left_z,Ankle_left_x,Ankle_left_y,Ankle_left_z,Foot_left_x,Foot_left_y,Foot_left_z,Hip_right_x,Hip_right_y,Hip_right_z,Knee_right_x,Knee_right_y,Knee_right_z,Ankle_right_x,Ankle_right_y,Ankle_right_z,Foot_right_x,Foot_right_y,Foot_right_z,Spine_shoulder_x,Spine_shoulder_y,Spine_shoulder_z,Handtip_left_x,Handtip_left_y,Handtip_left_z,Thumb_left_x,Thumb_left_y,Thumb_left_z,Handtip_right_x,Handtip_right_y,Handtip_right_z,Thumb_right_x,Thumb_right_y,Thumb_right_z
0,-1.82857835292816,-0.676498770713806,3.26786279678345,-1.77507352828979,-0.432229787111282,3.24677538871765,-1.71701920032501,-0.190010190010071,3.21631836891174,-1.64868032932281,-0.0659083873033524,3.21620416641235,-1.76755976676941,-0.282977640628815,3.10410380363464,-1.86856603622437,-0.476986438035965,3.04208064079285,-1.83571863174438,-0.695703327655792,3.03583741188049,-1.78176891803741,-0.756857216358185,3.04100441932678,-1.67053973674774,-0.301556646823883,3.39047455787659,-1.73744177818298,-0.567177355289459,3.47685122489929,-1.56719410419464,-0.684427261352539,3.24964714050293,-1.50956511497498,-0.719366848468781,3.21774387359619,-1.83640170097351,-0.667096734046936,3.18326568603516,-1.53935217857361,-0.789917767047882,3.0688304901123,-1.59171235561371,-1.12807810306549,3.0987696647644,-1.5331974029541,-1.18455410003662,3.09487557411194,-1.79218804836273,-0.675326943397522,3.30136609077454,-1.48337399959564,-0.823109686374664,3.26085662841797,-1.54314374923706,-1.11897599697113,3.24571943283081,-1.5453245639801,-1.1701682806015,3.12745928764343,-1.73240625858307,-0.250326037406921,3.22568035125732,-1.7565985918045,-0.817362189292908,3.01451539993286,-1.7175954580307,-0.720034062862396,3.03477787971497,-1.48157668113709,-0.759437620639801,3.08690881729126,-1.45995020866394,-0.725161671638489,3.19841146469116
39,-1.80507361888886,-0.656666338443756,3.31368613243103,-1.76084196567535,-0.422420561313629,3.26333022117615,-1.71027171611786,-0.186725080013275,3.21717095375061,-1.63604235649109,-0.058853380382061,3.20856475830078,-1.75810480117798,-0.280422776937485,3.1009624004364,-1.85059750080109,-0.526632785797119,3.04757976531982,-1.83153307437897,-0.755612015724182,3.02997183799744,-1.76849389076233,-0.78644323348999,3.02412223815918,-1.66074752807617,-0.297087818384171,3.38810658454895,-1.73230934143066,-0.564819991588593,3.47294640541077,-1.54897737503052,-0.657677352428436,3.27268099784851,-1.4903177022934,-0.697543382644653,3.22890067100525,-1.81324028968811,-0.648437082767487,3.23129320144653,-1.53677618503571,-0.797078251838684,3.06829023361206,-1.590935587883,-1.12764763832092,3.09924077987671,-1.52795028686523,-1.18867313861847,3.09681010246277,-1.76933395862579,-0.654860436916351,3.34542346000671,-1.48249554634094,-0.823164045810699,3.25981163978577,-1.54160153865814,-1.11999714374542,3.24609208106995,-1.51885068416595,-1.1733283996582,3.15853714942932,-1.72431302070618,-0.245941013097763,3.22897815704346,-1.74905097484589,-0.818458735942841,3.00841021537781,-1.73044884204865,-0.76970648765564,3.03933310508728,-1.43025803565979,-0.726970613002777,3.21457934379578,-1.44529342651367,-0.684833884239197,3.22433352470398
79,-1.82415270805359,-0.649564921855927,3.33421993255615,-1.76095652580261,-0.41397550702095,3.27487087249756,-1.69645285606384,-0.175208374857903,3.21885943412781,-1.62656831741333,-0.0483066365122795,3.20448994636536,-1.74710714817047,-0.263677805662155,3.09784007072449,-1.85077857971191,-0.527038395404816,3.04844546318054,-1.80151700973511,-0.75836056470871,3.03725814819336,-1.76765811443329,-0.779809415340424,3.03114128112793,-1.64398264884949,-0.280780911445618,3.379967212677,-1.71716916561127,-0.550855994224548,3.45900797843933,-1.60952615737915,-0.645874679088593,3.26138424873352,-1.54979193210602,-0.677227139472961,3.23589253425598,-1.83601844310761,-0.639520764350891,3.25738263130188,-1.53819966316223,-0.743726432323456,3.07047557830811,-1.59018301963806,-1.12628555297852,3.09989666938782,-1.58197820186615,-1.20160520076752,3.04086709022522,-1.78485929965973,-0.649483799934387,3.36094355583191,-1.4833859205246,-0.739028215408325,3.22732663154602,-1.54411435127258,-1.11218667030334,3.23250865936279,-1.52821207046509,-1.1726450920105,3.14836835861206,-1.71465361118317,-0.235654309391975,3.23389625549316,-1.75272250175476,-0.819883167743683,3.00703692436218,-1.74326574802399,-0.759325802326202,3.08522248268127,-1.50043249130249,-0.738490223884583,3.17901039123535,-1.50127482414246,-0.662635207176209,3.21780037879944
119,-1.82275092601776,-0.641239583492279,3.34011125564575,-1.75484800338745,-0.396742641925812,3.28024101257324,-1.68120896816254,-0.150382995605469,3.21268224716187,-1.61681473255157,-0.0312118120491505,3.19942545890808,-1.73614728450775,-0.235679909586906,3.08912754058838,-1.83077526092529,-0.483830332756042,3.04810428619385,-1.80290234088898,-0.743576943874359,3.03802061080933,-1.76989269256592,-0.773568034172058,3.02714610099792,-1.6301257610321,-0.263840138912201,3.37417793273926,-1.69240522384644,-0.515593230724335,3.43204045295715,-1.53734600543976,-0.645469307899475,3.27103233337402,-1.51454257965088,-0.688877642154694,3.22650933265686,-1.83415651321411,-0.631320953369141,3.25947999954224,-1.54127359390259,-0.740672707557678,3.07088851928711,-1.58744919300079,-1.11942160129547,3.09967279434204,-1.49017882347107,-1.17118120193481,3.04436159133911,-1.78337156772614,-0.640569865703583,3.37063980102539,-1.4832501411438,-0.738626480102539,3.22753477096558,-1.5422910451889,-1.11297845840454,3.24014091491699,-1.52508783340454,-1.1741795539856,3.15495300292969,-1.70087134838104,-0.211731269955635,3.23157048225403,-1.74163269996643,-0.819121122360229,2.99235129356384,-1.6962765455246,-0.766481578350067,2.99870014190674,-1.47099471092224,-0.738615453243256,3.19248366355896,-1.46923995018005,-0.666855573654175,3.22866678237915
158,-1.79193270206451,-0.645147800445557,3.36816835403442,-1.74001502990723,-0.387359768152237,3.2893385887146,-1.67259669303894,-0.130007654428482,3.20952105522156,-1.60651695728302,-0.00495983986184001,3.19911050796509,-1.73195815086365,-0.226117730140686,3.08778214454651,-1.80626130104065,-0.437963753938675,3.0333240032196,-1.80077505111694,-0.729105770587921,3.03812837600708,-1.76708519458771,-0.769822716712952,3.02527809143066,-1.62451767921448,-0.256754994392395,3.3688702583313,-1.69221758842468,-0.517118036746979,3.43084001541138,-1.53693628311157,-0.645529568195343,3.27050805091858,-1.49683701992035,-0.699161887168884,3.21986031532288,-1.80438089370728,-0.632673025131226,3.28311324119568,-1.5394446849823,-0.74182516336441,3.07191443443298,-1.58845627307892,-1.12099385261536,3.10066175460815,-1.53585577011108,-1.19545722007751,3.06037735939026,-1.75181543827057,-0.647613942623138,3.40055847167969,-1.47219836711884,-0.768855690956116,3.25292754173279,-1.54851496219635,-1.09442102909088,3.20794677734375,-1.51338469982147,-1.15553140640259,3.2408173084259,-1.69096493721008,-0.195142462849617,3.23154950141907,-1.76402866840363,-0.818789720535278,3.0096743106842,-1.68731820583344,-0.788144290447235,2.99766683578491,-1.4509996175766,-0.754867076873779,3.19145345687866,-1.45580875873566,-0.674274742603302,3.23221468925476
238,-1.79337549209595,-0.608630359172821,3.35306000709534,-1.7301230430603,-0.350703924894333,3.28382182121277,-1.66055202484131,-0.0913625434041023,3.20571660995483,-1.60379338264465,0.0326760150492191,3.19065499305725,-1.72126507759094,-0.180149599909782,3.07623648643494,-1.81458818912506,-0.452601402997971,3.04396319389343,-1.77903318405151,-0.72137713432312,3.02762317657471,-1.76325070858002,-0.763123631477356,3.01330208778381,-1.60141158103943,-0.198199406266212,3.35505628585815,-1.66959047317505,-0.48723515868187,3.40867710113525,-1.53079855442047,-0.635296106338501,3.25601530075073,-1.50650727748871,-0.68238776922226,3.22281241416931,-1.80548501014709,-0.596659600734711,3.26668334007263,-1.53977513313293,-0.731006920337677,3.07537746429443,-1.58953022956848,-1.12104403972626,3.10275769233704,-1.53992605209351,-1.19793963432312,3.05827569961548,-1.7525817155838,-0.610281765460968,3.3857958316803,-1.47827684879303,-0.73050844669342,3.21332454681396,-1.53978550434113,-1.09758567810059,3.24435639381409,-1.53286826610565,-1.16381847858429,3.15962648391724,-1.67883813381195,-0.156011044979095,3.22691869735718,-1.75478029251099,-0.820912659168243,2.97869229316711,-1.73393547534943,-0.773462772369385,3.05527305603027,-1.46516633033752,-0.744905233383179,3.18450927734375,-1.46660840511322,-0.661117434501648,3.23515772819519
277,-1.78805589675903,-0.592225790023804,3.34913301467896,-1.72720813751221,-0.334409236907959,3.28138136863709,-1.6607426404953,-0.0788628533482552,3.20437121391296,-1.60351979732513,0.0565165728330612,3.19344806671143,-1.72066617012024,-0.169047519564629,3.0746808052063,-1.81044101715088,-0.436596006155014,3.04255270957947,-1.76839411258698,-0.702639698982239,3.02578139305115,-1.75581204891205,-0.747329473495483,3.00782442092896,-1.60164666175842,-0.197393491864204,3.3551549911499,-1.66386091709137,-0.47715300321579,3.40739274024963,-1.53069627285004,-0.634355425834656,3.2567024230957,-1.50202548503876,-0.680196642875671,3.21783757209778,-1.79991519451141,-0.579353392124176,3.26152467727661,-1.53836381435394,-0.728386044502258,3.07730412483215,-1.59430658817291,-1.11712038516998,3.10317897796631,-1.55108964443207,-1.19677734375,3.05971097946167,-1.74747967720032,-0.595528066158295,3.38274884223938,-1.4777272939682,-0.730045139789581,3.213782787323,-1.54032480716705,-1.09846973419189,3.24554300308228,-1.53089201450348,-1.16768598556519,3.16448211669922,-1.67834079265594,-0.142531365156174,3.2254011631012,-1.74573135375977,-0.793871819972992,2.97360944747925,-1.70965552330017,-0.743318200111389,3.03438496589661,-1.45793187618256,-0.746233463287354,3.1845006942749,-1.46556520462036,-0.65763247013092,3.23215794563293
317,-1.76353883743286,-0.554445445537567,3.33250212669373,-1.71559309959412,-0.302080273628235,3.27298092842102,-1.65932488441467,-0.0497388727962971,3.20172572135925,-1.60764968395233,0.0778507888317108,3.19226956367493,-1.72190582752228,-0.143101349473,3.0704653263092,-1.79758989810944,-0.420748382806778,3.03679227828979,-1.75152027606964,-0.664616584777832,3.01589202880859,-1.73640966415405,-0.719742178916931,3.00462818145752,-1.60291087627411,-0.174650803208351,3.35528898239136,-1.65946996212006,-0.466389358043671,3.40669274330139,-1.53076434135437,-0.62548953294754,3.2627866268158,-1.49880039691925,-0.676664233207703,3.21519327163696,-1.77615320682526,-0.5440434217453,3.2447464466095,-1.53630065917969,-0.72494113445282,3.07875275611877,-1.59053492546082,-1.10901033878326,3.10428881645203,-1.55524742603302,-1.19202709197998,3.05931401252747,-1.72222697734833,-0.555730164051056,3.36603617668152,-1.47435688972473,-0.725641489028931,3.21441507339478,-1.54764223098755,-1.10177397727966,3.21589851379395,-1.4450432062149,-1.15238070487976,3.15380644798279,-1.67451894283295,-0.112753920257092,3.22146844863892,-1.68360877037048,-0.810230910778046,2.99261713027954,-1.70855736732483,-0.694521367549896,3.06550025939941,-1.45535731315613,-0.740865886211395,3.17717456817627,-1.46033668518066,-0.652824699878693,3.22657155990601
357,-1.7737683057785,-0.547427535057068,3.33169054985046,-1.7216180562973,-0.292696833610535,3.27241444587708,-1.66347181797028,-0.0384165197610855,3.2023184299469,-1.61160147190094,0.0921823382377625,3.1909556388855,-1.723273396492,-0.128071710467339,3.07070064544678,-1.79680621623993,-0.388507634401321,3.02791476249695,-1.74366903305054,-0.655882954597473,3.01362943649292,-1.72368824481964,-0.702300190925598,2.99650478363037,-1.60397851467133,-0.154625922441483,3.35166144371033,-1.65644359588623,-0.456785917282104,3.40904808044434,-1.52512741088867,-0.626385390758514,3.25460910797119,-1.49750483036041,-0.674016416072845,3.21512579917908,-1.78556931018829,-0.540626585483551,3.24563312530518,-1.53517055511475,-0.722572326660156,3.07870602607727,-1.58980560302734,-1.10320353507996,3.10349631309509,-1.55607342720032,-1.18722069263458,3.06097745895386,-1.73371505737305,-0.543954491615295,3.36295104026794,-1.47239220142365,-0.723007678985596,3.21428179740906,-1.54153287410736,-1.09286761283875,3.23730397224426,-1.53088939189911,-1.16353237628937,3.15582489967346,-1.67905378341675,-0.101773463189602,3.22170877456665,-1.72478032112122,-0.793403744697571,3.02061581611633,-1.70119881629944,-0.6751948595047,3.06229996681213,-1.45214533805847,-0.738066494464874,3.17587494850159,-1.45785963535309,-0.652875304222107,3.23086595535278
436,-1.76075291633606,-0.535059571266174,3.32332372665405,-1.71851742267609,-0.275391846895218,3.26712155342102,-1.67181539535522,-0.0124038206413388,3.19994783401489,-1.62312865257263,0.118399865925312,3.19164490699768,-1.73160874843597,-0.105582594871521,3.06818056106567,-1.79319381713867,-0.365455687046051,3.01514744758606,-1.73458850383759,-0.625124871730804,3.00374603271484,-1.71649265289307,-0.671103656291962,2.98966002464294,-1.60803997516632,-0.136029124259949,3.35047101974487,-1.65351605415344,-0.448124706745148,3.41247892379761,-1.52003598213196,-0.626873970031738,3.24692630767822,-1.49343228340149,-0.671724677085876,3.21120595932007,-1.77519106864929,-0.531920492649078,3.23963189125061,-1.53252124786377,-0.720964908599854,3.07873296737671,-1.58942782878876,-1.10181784629822,3.10329937934875,-1.48525297641754,-1.15011608600616,3.03990340232849,-1.7176479101181,-0.528705596923828,3.35213780403137,-1.4695919752121,-0.719915330410004,3.21538233757019,-1.54266583919525,-1.09761333465576,3.23393940925598,-1.52528321743011,-1.17425465583801,3.16249847412109,-1.6839451789856,-0.0784659460186958,3.2184956073761,-1.70081532001495,-0.735062718391418,2.9594566822052,-1.68085980415344,-0.66427755355835,3.04530787467957,-1.44819712638855,-0.741622030735016,3.17285203933716,-1.44586539268494,-0.65783828496933,3.21276450157166
