Miliseconds,Spine_base_x,Spine_base_y,Spine_base_z,Spine_mid_x,Spine_mid_y,Spine_mid_z,Neck_x,Neck_y,Neck_z,Head_x,Head_y,Head_z,Shoulder_left_x,Shoulder_left_y,Shoulder_left_z,Elbow_left_x,Elbow_left_y,Elbow_left_z,Wrist_left_x,Wrist_left_y,Wrist_left_z,Hand_left_x,Hand_left_y,Hand_left_z,Shoulder_right_x,Shoulder_right_y,Shoulder_right_z,Elbow_right_x,Elbow_right_y,Elbow_right_z,Wrist_right_x,Wrist_right_y,Wrist_right_z,Hand_right_x,Hand_right_y,Hand_right_z,Hip_left_x,Hip_left_y,Hip_left_z,Knee_left_x,Knee_left_y,Knee_left_z,Ankle_left_x,Ankle_left_y,Ankle_left_z,Foot_left_x,Foot_left_y,Foot_left_z,Hip_right_x,Hip_right_y,Hip_right_z,Knee_right_x,Knee_right_y,Knee_right_z,Ankle_right_x,Ankle_right_y,Ankle_right_z,Foot_right_x,Foot_right_y,Foot_right_z,Spine_shoulder_x,Spine_shoulder_y,Spine_shoulder_z,Handtip_left_x,Handtip_left_y,Handtip_left_z,Thumb_left_x,Thumb_left_y,Thumb_left_z,Handtip_right_x,Handtip_right_y,Handtip_right_z,Thumb_right_x,Thumb_right_y,Thumb_right_z
0,-1.79628932476044,-0.675362706184387,3.2798318862915,-1.75007438659668,-0.439326018095016,3.25184774398804,-1.69943761825562,-0.205134376883507,3.21488475799561,-1.63386595249176,-0.0719258934259415,3.20165634155273,-1.75399100780487,-0.293484687805176,3.10085844993591,-1.85873520374298,-0.482450038194656,3.04493951797485,-1.84862327575684,-0.705242216587067,3.03132820129395,-1.79852211475372,-0.758909344673157,3.03279209136963,-1.64330208301544,-0.30219379067421,3.37745976448059,-1.71510851383209,-0.574910640716553,3.46974420547485,-1.61725175380707,-0.702033400535584,3.20431852340698,-1.58103680610657,-0.770315647125244,3.05227446556091,-1.80787169933319,-0.668359577655792,3.20386743545532,-1.53085577487946,-0.811323940753937,3.06565952301025,-1.57358860969543,-1.11991477012634,3.09600353240967,-1.51402473449707,-1.17334032058716,3.13031959533691,-1.75760281085968,-0.672171592712402,3.3062756061554,-1.47303342819214,-0.822846531867981,3.24205493927002,-1.56276214122772,-1.11991393566132,3.10190582275391,-1.47950899600983,-1.13508558273315,3.18626236915588,-1.71294271945953,-0.263471245765686,3.22580671310425,-1.76161634922028,-0.819096505641937,3.01119136810303,-1.73579895496368,-0.769376039505005,2.97257161140442,-1.56896233558655,-0.781516969203949,3.03558611869812,-1.56095433235168,-0.746598720550537,3.02933359146118
39,-1.79785215854645,-0.67442399263382,3.287517786026,-1.74722540378571,-0.436963856220245,3.25440955162048,-1.68563950061798,-0.197422355413437,3.21204662322998,-1.6235054731369,-0.0674699619412422,3.20069599151611,-1.74831259250641,-0.2919582426548,3.09988951683044,-1.85606575012207,-0.535435914993286,3.06106877326965,-1.81488144397736,-0.728750705718994,3.02393698692322,-1.76975524425507,-0.776682257652283,3.02703833580017,-1.63660323619843,-0.301081091165543,3.37483668327332,-1.70502603054047,-0.542389750480652,3.45725774765015,-1.63481497764587,-0.642099320888519,3.28986620903015,-1.66851162910461,-0.653603732585907,3.27645301818848,-1.80938494205475,-0.667367458343506,3.2099826335907,-1.52983772754669,-0.812006115913391,3.06667399406433,-1.57371270656586,-1.12098276615143,3.09652757644653,-1.51832175254822,-1.1667058467865,3.11717128753662,-1.75892770290375,-0.67123556137085,3.31515169143677,-1.47279918193817,-0.822868049144745,3.24317288398743,-1.49468815326691,-1.11486613750458,3.24521517753601,-1.4990234375,-1.15625,3.150390625,-1.70286476612091,-0.257521688938141,3.22499418258667,-1.75188171863556,-0.813526332378387,2.99530935287476,-1.77677714824677,-0.784894287586212,2.97922229766846,-1.61399352550507,-0.679095923900604,3.22231483459473,-1.61362171173096,-0.645962953567505,3.27066683769226
79,-1.80674958229065,-0.66813051700592,3.28932309150696,-1.74443995952606,-0.433211505413055,3.25398945808411,-1.66526293754578,-0.193121910095215,3.20692110061646,-1.60382747650146,-0.0680512264370918,3.19293832778931,-1.72511494159698,-0.283268481492996,3.08820605278015,-1.83857929706573,-0.517078220844269,3.05584406852722,-1.81830823421478,-0.716101765632629,3.03749179840088,-1.77507126331329,-0.767094135284424,3.03607559204102,-1.61274027824402,-0.295036017894745,3.35960531234741,-1.68860650062561,-0.52520477771759,3.44452977180481,-1.63469469547272,-0.643509864807129,3.29056000709534,-1.65610826015472,-0.640000641345978,3.27539968490601,-1.81919944286346,-0.660067141056061,3.2065122127533,-1.52822685241699,-0.748120367527008,3.07027506828308,-1.57367277145386,-1.12127506732941,3.09735608100891,-1.53494918346405,-1.19405508041382,3.06979751586914,-1.76831459999084,-0.664741158485413,3.32220649719238,-1.46952092647552,-0.740484535694122,3.21735262870789,-1.49574935436249,-1.1147586107254,3.24439454078674,-1.49394500255585,-1.15926790237427,3.15295600891113,-1.68746185302734,-0.252674758434296,3.22097873687744,-1.74927616119385,-0.813366055488586,3.00731515884399,-1.78663551807404,-0.774418711662292,2.98784613609314,-1.6424652338028,-0.662123501300812,3.23275899887085,-1.61284446716309,-0.634085655212402,3.26316690444946
119,-1.80037188529968,-0.671664714813232,3.32316493988037,-1.73067128658295,-0.42511922121048,3.26330637931824,-1.645956158638,-0.175123155117035,3.19984173774719,-1.58688724040985,-0.0470953732728958,3.18585848808289,-1.71277487277985,-0.26977926492691,3.08761143684387,-1.82609939575195,-0.499936431646347,3.05698037147522,-1.80365371704102,-0.736102640628815,3.04325819015503,-1.7715300321579,-0.774527192115784,3.03571629524231,-1.602170586586,-0.287669479846954,3.35888743400574,-1.6739604473114,-0.518208742141724,3.43665361404419,-1.6233743429184,-0.640438556671143,3.28812646865845,-1.66515469551086,-0.631348967552185,3.26929569244385,-1.81301522254944,-0.662191271781921,3.23465085029602,-1.5278012752533,-0.748270273208618,3.07113409042358,-1.57467877864838,-1.12064218521118,3.09735417366028,-1.52916634082794,-1.19258093833923,3.07083296775818,-1.76010704040527,-0.670795321464539,3.36082696914673,-1.46872699260712,-0.739546179771423,3.21726679801941,-1.49630057811737,-1.11482214927673,3.24428820610046,-1.49250888824463,-1.16183018684387,3.15229773521423,-1.66882228851318,-0.237835749983788,3.21832990646362,-1.75899159908295,-0.818919062614441,3.01368856430054,-1.77718484401703,-0.768530011177063,2.97300028800964,-1.65861237049103,-0.633103132247925,3.1204469203949,-1.58132386207581,-0.660087168216705,3.21683359146118
159,-1.77497375011444,-0.662878274917603,3.3021547794342,-1.70556592941284,-0.407124131917953,3.25067186355591,-1.63131260871887,-0.155091851949692,3.1913902759552,-1.56429576873779,-0.0204590745270252,3.18017625808716,-1.70148468017578,-0.252200335264206,3.07826781272888,-1.79509174823761,-0.471667021512985,3.03481793403625,-1.80120086669922,-0.723366618156433,3.04059529304504,-1.77024579048157,-0.770654439926147,3.02748346328735,-1.58713901042938,-0.272305995225906,3.35597348213196,-1.66795265674591,-0.514928817749023,3.42514634132385,-1.52473962306976,-0.643080770969391,3.24780321121216,-1.48296427726746,-0.684556066989899,3.20544624328613,-1.78891241550446,-0.653948247432709,3.22012567520142,-1.52111756801605,-0.751034200191498,3.07226204872131,-1.57699835300446,-1.12272024154663,3.09960341453552,-1.50978100299835,-1.18223583698273,3.09500956535339,-1.73228371143341,-0.661060929298401,3.33023118972778,-1.4586009979248,-0.76375150680542,3.22852206230164,-1.49529349803925,-1.10907769203186,3.24239611625671,-1.49506688117981,-1.16177833080292,3.15226793289185,-1.65073251724243,-0.217401444911957,3.20805191993713,-1.75443005561829,-0.822823226451874,3.00439715385437,-1.75572967529297,-0.775159895420074,2.97379994392395,-1.44416797161102,-0.72487461566925,3.17174577713013,-1.44481527805328,-0.660523295402527,3.20620059967041
238,-1.75841462612152,-0.630463898181915,3.29239559173584,-1.68909442424774,-0.379469156265259,3.24613761901855,-1.61512613296509,-0.130193158984184,3.18995380401611,-1.55620169639587,-0.00253921514376998,3.17619872093201,-1.68192231655121,-0.2139613032341,3.06593132019043,-1.79232633113861,-0.469101428985596,3.0358555316925,-1.79421329498291,-0.73063600063324,3.03535723686218,-1.76843500137329,-0.77202832698822,3.01796746253967,-1.56458508968353,-0.240832969546318,3.34282326698303,-1.64578473567963,-0.504163265228271,3.40514326095581,-1.59316611289978,-0.635662794113159,3.23170614242554,-1.5650794506073,-0.652435302734375,3.22303938865662,-1.76979959011078,-0.618031203746796,3.20557260513306,-1.51772665977478,-0.73939460515976,3.07231378555298,-1.57584309577942,-1.12090480327606,3.10138964653015,-1.51579022407532,-1.18997931480408,3.07251667976379,-1.7186187505722,-0.633004188537598,3.32585453987122,-1.45485949516296,-0.733150899410248,3.20688629150391,-1.49652469158173,-1.10984635353088,3.24021673202515,-1.49659430980682,-1.16424787044525,3.14948081970215,-1.63447988033295,-0.192238256335258,3.2057785987854,-1.76206696033478,-0.819926023483276,3.01658511161804,-1.80818152427673,-0.758223056793213,3,-1.54524803161621,-0.662301778793335,3.16436076164246,-1.53375840187073,-0.645772397518158,3.20900011062622
278,-1.7519758939743,-0.607065081596375,3.30094242095947,-1.68302178382874,-0.357006311416626,3.24650502204895,-1.60897088050842,-0.107079416513443,3.18231749534607,-1.55162799358368,0.0223947651684284,3.17371535301209,-1.67760825157166,-0.196213454008102,3.0616135597229,-1.78633904457092,-0.461504638195038,3.03652834892273,-1.7852988243103,-0.717624485492706,3.02651071548462,-1.76266074180603,-0.768247902393341,3.01560282707214,-1.56082510948181,-0.231887266039848,3.34136772155762,-1.63197457790375,-0.481570303440094,3.39584589004517,-1.52608096599579,-0.631608307361603,3.24039769172668,-1.49002707004547,-0.672521233558655,3.20088887214661,-1.76400756835938,-0.594720840454102,3.21267795562744,-1.51718950271606,-0.736685812473297,3.0723295211792,-1.57622981071472,-1.12184762954712,3.10119533538818,-1.51691150665283,-1.1919960975647,3.07294249534607,-1.71150946617126,-0.609400868415833,3.33586025238037,-1.45399630069733,-0.731764256954193,3.20539665222168,-1.49679553508759,-1.11034405231476,3.23957180976868,-1.49551951885223,-1.16499698162079,3.1480598449707,-1.62840020656586,-0.169475644826889,3.20028567314148,-1.74639689922333,-0.814074754714966,3.00828957557678,-1.79397773742676,-0.76488196849823,2.98534989356995,-1.44555675983429,-0.734710991382599,3.15896534919739,-1.44942784309387,-0.64773428440094,3.20021414756775
317,-1.74227321147919,-0.562910795211792,3.31820511817932,-1.67608654499054,-0.328747719526291,3.25113677978516,-1.60469591617584,-0.0920952185988426,3.17928862571716,-1.55039834976196,0.0387724563479424,3.17112278938293,-1.67373192310333,-0.180870205163956,3.05767846107483,-1.77125811576843,-0.446226745843887,3.02911305427551,-1.76716887950897,-0.679351150989532,3.02108407020569,-1.75496244430542,-0.751920521259308,3.00817584991455,-1.55291783809662,-0.210658475756645,3.33993363380432,-1.63137829303741,-0.481699466705322,3.39493012428284,-1.52989101409912,-0.629407107830048,3.23706555366516,-1.4861364364624,-0.645354390144348,3.21641373634338,-1.75506663322449,-0.552200973033905,3.23021626472473,-1.51659798622131,-0.735015511512756,3.07216572761536,-1.57429933547974,-1.11923718452454,3.1034049987793,-1.51853561401367,-1.19175159931183,3.07090258598328,-1.70145630836487,-0.564709901809692,3.3526439666748,-1.45277297496796,-0.729393064975739,3.20262765884399,-1.49673616886139,-1.11041533946991,3.23954725265503,-1.49666476249695,-1.16657960414886,3.14898538589478,-1.62350761890411,-0.151540696620941,3.19867324829102,-1.74929428100586,-0.810899496078491,3.00482702255249,-1.76857781410217,-0.745917320251465,2.96266722679138,-1.41916358470917,-0.681955993175507,3.18219041824341,-1.47662115097046,-0.615789771080017,3.23407101631165
357,-1.74513447284698,-0.562950670719147,3.31750965118408,-1.67691946029663,-0.322966724634171,3.25176405906677,-1.60098659992218,-0.0747126564383507,3.1803195476532,-1.55086410045624,0.0584145151078701,3.16888332366943,-1.66879951953888,-0.162263721227646,3.05090928077698,-1.76102256774902,-0.426733732223511,3.02278518676758,-1.75346076488495,-0.679981768131256,3.01882934570313,-1.74009919166565,-0.744804620742798,2.99825096130371,-1.55039846897125,-0.197358518838882,3.33655786514282,-1.62388861179352,-0.470030665397644,3.39232444763184,-1.52771270275116,-0.62656831741333,3.23580741882324,-1.48281002044678,-0.643376588821411,3.21564507484436,-1.75835835933685,-0.553632795810699,3.23054003715515,-1.51525664329529,-0.730280041694641,3.07274889945984,-1.57432126998901,-1.11867880821228,3.10295820236206,-1.52479577064514,-1.19430935382843,3.06652069091797,-1.70461881160736,-0.56322181224823,3.3506121635437,-1.45095682144165,-0.725181519985199,3.19798541069031,-1.49831604957581,-1.10941159725189,3.23385953903198,-1.49421584606171,-1.17199981212616,3.14898896217346,-1.62125182151794,-0.137117773294449,3.1998245716095,-1.73160016536713,-0.805897831916809,3.00877118110657,-1.7929470539093,-0.774968981742859,3.00066709518433,-1.42012119293213,-0.683935463428497,3.18285536766052,-1.44155156612396,-0.640229165554047,3.22269988059998
436,-1.74804675579071,-0.553237855434418,3.31612730026245,-1.67829990386963,-0.300459533929825,3.24840927124023,-1.60255229473114,-0.0485924631357193,3.17264318466187,-1.55061900615692,0.0864629223942757,3.16561484336853,-1.67170286178589,-0.130957499146461,3.04595041275024,-1.75350713729858,-0.400534003973007,3.01833844184875,-1.73445081710815,-0.676505625247955,3.0098774433136,-1.72328531742096,-0.728904545307159,2.99310898780823,-1.5491601228714,-0.161845773458481,3.33370065689087,-1.61639940738678,-0.449737340211868,3.39226198196411,-1.49635207653046,-0.599152386188507,3.25914597511292,-1.46761333942413,-0.643933057785034,3.20915865898132,-1.76064813137054,-0.547968745231628,3.23023462295532,-1.51433837413788,-0.723667919635773,3.07416319847107,-1.57520949840546,-1.10590136051178,3.10218572616577,-1.53533470630646,-1.1865713596344,3.07270431518555,-1.70729124546051,-0.548863589763641,3.34763789176941,-1.45037519931793,-0.721264004707336,3.19657039642334,-1.49985182285309,-1.10876834392548,3.23132848739624,-1.49557495117188,-1.17504215240479,3.1498019695282,-1.62243580818176,-0.11133086681366,3.19335436820984,-1.68160951137543,-0.815344154834747,2.99655246734619,-1.70548558235168,-0.747713267803192,3.05180025100708,-1.41781294345856,-0.688625454902649,3.17108154296875,-1.44003331661224,-0.638159930706024,3.21874976158142
